Sex,Race/Ethnicity,Age,Stage at Diagnosis,Rate Type,Year,"Age-adjusted (AA) Rate per 100,000",AA Rate Lower Confidence Interval,AA Rate Upper Confidence Interval,Modeled Rate (Regression Line),Trend Year Range,Annual Percent Change (APC) (%),APC Lower Confidence Interval (%),APC Upper Confidence Interval (%),Trend Direction
Male,All Races (includes Hispanic),All Ages,All Stages,Observed Rates,2000,17.3828,16.9869,17.7854,17.1431,2000-2014,0.6673,0.3997,0.9356,Trend is Rising
Male,All Races (includes Hispanic),All Ages,All Stages,Observed Rates,2001,17.7455,17.3492,18.1483,17.2575,2014-2017,-3.1377,-5.6553,-0.553,Trend is Falling
Male,All Races (includes Hispanic),All Ages,All Stages,Observed Rates,2002,17.1852,16.7984,17.5783,17.3727,,,,,
Male,All Races (includes Hispanic),All Ages,All Stages,Observed Rates,2003,17.5792,17.1916,17.973,17.4886,,,,,
Male,All Races (includes Hispanic),All Ages,All Stages,Observed Rates,2004,17.6807,17.2948,18.0727,17.6053,,,,,
Male,All Races (includes Hispanic),All Ages,All Stages,Observed Rates,2005,17.4229,17.0434,17.8085,17.7228,,,,,
Male,All Races (includes Hispanic),All Ages,All Stages,Observed Rates,2006,17.3993,17.0222,17.7825,17.841,,,,,
Male,All Races (includes Hispanic),All Ages,All Stages,Observed Rates,2007,17.6834,17.3077,18.065,17.9601,,,,,
Male,All Races (includes Hispanic),All Ages,All Stages,Observed Rates,2008,17.6902,17.318,18.0682,18.0799,,,,,
Male,All Races (includes Hispanic),All Ages,All Stages,Observed Rates,2009,17.9883,17.6159,18.3665,18.2006,,,,,
Male,All Races (includes Hispanic),All Ages,All Stages,Observed Rates,2010,18.7739,18.3967,19.1568,18.322,,,,,
Male,All Races (includes Hispanic),All Ages,All Stages,Observed Rates,2011,18.7115,18.3389,19.0896,18.4443,,,,,
Male,All Races (includes Hispanic),All Ages,All Stages,Observed Rates,2012,18.6322,18.2641,19.0057,18.5673,,,,,
Male,All Races (includes Hispanic),All Ages,All Stages,Observed Rates,2013,18.728,18.3632,19.0982,18.6912,,,,,
Male,All Races (includes Hispanic),All Ages,All Stages,Observed Rates,2014,18.7588,18.3974,19.1255,18.816,,,,,
Male,All Races (includes Hispanic),All Ages,All Stages,Observed Rates,2015,18.1801,17.8277,18.5376,18.2256,,,,,
Male,All Races (includes Hispanic),All Ages,All Stages,Observed Rates,2016,18.0783,17.7301,18.4315,17.6537,,,,,
Male,All Races (includes Hispanic),All Ages,All Stages,Observed Rates,2017,16.8311,16.4983,17.1689,17.0998,,,,,
Male,All Races (includes Hispanic),All Ages,All Stages,Delay-adjusted Rates,2000,17.3828,16.9869,17.7854,17.4625,2000-2007,0.0774,-0.5801,0.7392,Stable
Male,All Races (includes Hispanic),All Ages,All Stages,Delay-adjusted Rates,2001,17.7455,17.3492,18.1483,17.476,2007-2013,1.9784,0.9504,3.0168,Trend is Rising
Male,All Races (includes Hispanic),All Ages,All Stages,Delay-adjusted Rates,2002,17.1852,16.7984,17.5783,17.4895,2013-2017,-1.0195,-2.3664,0.346,Stable
Male,All Races (includes Hispanic),All Ages,All Stages,Delay-adjusted Rates,2003,17.5792,17.1916,17.973,17.5031,,,,,
Male,All Races (includes Hispanic),All Ages,All Stages,Delay-adjusted Rates,2004,17.6807,17.2948,18.0727,17.5166,,,,,
Male,All Races (includes Hispanic),All Ages,All Stages,Delay-adjusted Rates,2005,17.4229,17.0434,17.8085,17.5302,,,,,
Male,All Races (includes Hispanic),All Ages,All Stages,Delay-adjusted Rates,2006,17.3993,17.0222,17.7825,17.5437,,,,,
Male,All Races (includes Hispanic),All Ages,All Stages,Delay-adjusted Rates,2007,17.6834,17.3077,18.065,17.5573,,,,,
Male,All Races (includes Hispanic),All Ages,All Stages,Delay-adjusted Rates,2008,17.6902,17.318,18.0682,17.9047,,,,,
Male,All Races (includes Hispanic),All Ages,All Stages,Delay-adjusted Rates,2009,18.1259,17.7506,18.507,18.2589,,,,,
Male,All Races (includes Hispanic),All Ages,All Stages,Delay-adjusted Rates,2010,19.0653,18.6822,19.4541,18.6201,,,,,
Male,All Races (includes Hispanic),All Ages,All Stages,Delay-adjusted Rates,2011,19.147,18.7658,19.5338,18.9885,,,,,
Male,All Races (includes Hispanic),All Ages,All Stages,Delay-adjusted Rates,2012,19.2184,18.8388,19.6036,19.3642,,,,,
Male,All Races (includes Hispanic),All Ages,All Stages,Delay-adjusted Rates,2013,19.4707,19.0915,19.8554,19.7473,,,,,
Male,All Races (includes Hispanic),All Ages,All Stages,Delay-adjusted Rates,2014,19.6493,19.2709,20.0331,19.5459,,,,,
Male,All Races (includes Hispanic),All Ages,All Stages,Delay-adjusted Rates,2015,19.2973,18.9235,19.6766,19.3467,,,,,
Male,All Races (includes Hispanic),All Ages,All Stages,Delay-adjusted Rates,2016,19.5232,19.1474,19.9043,19.1494,,,,,
Male,All Races (includes Hispanic),All Ages,All Stages,Delay-adjusted Rates,2017,18.6656,18.2968,19.0398,18.9542,,,,,
Male,All Races (includes Hispanic),Ages < 50,All Stages,Observed Rates,2000,4.6515,4.4395,4.871,4.7907,2000-2017,0.8436,0.6514,1.0362,Trend is Rising
Male,All Races (includes Hispanic),Ages < 50,All Stages,Observed Rates,2001,4.7996,4.5847,5.022,4.8312,,,,,
Male,All Races (includes Hispanic),Ages < 50,All Stages,Observed Rates,2002,4.7951,4.5809,5.0168,4.8719,,,,,
Male,All Races (includes Hispanic),Ages < 50,All Stages,Observed Rates,2003,4.8193,4.6047,5.0413,4.913,,,,,
Male,All Races (includes Hispanic),Ages < 50,All Stages,Observed Rates,2004,5.0706,4.8507,5.298,4.9545,,,,,
Male,All Races (includes Hispanic),Ages < 50,All Stages,Observed Rates,2005,5.0998,4.879,5.328,4.9963,,,,,
Male,All Races (includes Hispanic),Ages < 50,All Stages,Observed Rates,2006,5.04,4.8203,5.2672,5.0384,,,,,
Male,All Races (includes Hispanic),Ages < 50,All Stages,Observed Rates,2007,5.2202,4.9963,5.4516,5.0809,,,,,
Male,All Races (includes Hispanic),Ages < 50,All Stages,Observed Rates,2008,5.0504,4.8302,5.2781,5.1238,,,,,
Male,All Races (includes Hispanic),Ages < 50,All Stages,Observed Rates,2009,5.2533,5.0282,5.4859,5.167,,,,,
Male,All Races (includes Hispanic),Ages < 50,All Stages,Observed Rates,2010,5.2961,5.0697,5.5299,5.2106,,,,,
Male,All Races (includes Hispanic),Ages < 50,All Stages,Observed Rates,2011,5.3227,5.0949,5.5581,5.2546,,,,,
Male,All Races (includes Hispanic),Ages < 50,All Stages,Observed Rates,2012,5.2899,5.0623,5.5251,5.2989,,,,,
Male,All Races (includes Hispanic),Ages < 50,All Stages,Observed Rates,2013,5.3406,5.1118,5.577,5.3436,,,,,
Male,All Races (includes Hispanic),Ages < 50,All Stages,Observed Rates,2014,5.456,5.2246,5.6949,5.3887,,,,,
Male,All Races (includes Hispanic),Ages < 50,All Stages,Observed Rates,2015,5.3341,5.1048,5.5709,5.4341,,,,,
Male,All Races (includes Hispanic),Ages < 50,All Stages,Observed Rates,2016,5.5278,5.2936,5.7696,5.48,,,,,
Male,All Races (includes Hispanic),Ages < 50,All Stages,Observed Rates,2017,5.316,5.0868,5.5527,5.5262,,,,,
Male,All Races (includes Hispanic),Ages < 50,All Stages,Delay-adjusted Rates,2000,4.6515,4.4395,4.871,4.7441,2000-2017,1.0793,0.9223,1.2366,Trend is Rising
